temperature,humidity,rainfall,soil_ph,nitrogen,phosphorus,potassium,leaf_area_index,plant_age_days,previous_infection,label
20.3,55.1,48.2,6.7,38.2,17.5,28.4,2.8,75,0,Healthy
25.8,78.4,82.5,6.3,42.1,21.3,31.2,3.2,90,1,Rust
23.1,81.2,91.0,6.1,44.5,23.7,29.8,3.5,110,1,Black_Spot
29.4,43.2,18.5,6.8,31.4,15.2,22.6,2.1,60,0,Powdery_Mildew
31.2,87.5,105.3,6.0,48.2,26.1,33.4,4.0,130,1,Bacterial_Blight
19.8,52.3,45.0,6.9,36.5,16.8,27.1,2.6,65,0,Healthy
26.1,76.8,79.3,6.2,41.3,20.8,30.5,3.1,85,0,Rust
22.5,82.1,88.7,6.0,43.8,22.9,29.2,3.4,105,1,Black_Spot
28.9,44.5,20.2,6.7,30.8,14.9,21.8,2.0,55,0,Powdery_Mildew
30.5,86.2,102.1,6.1,47.5,25.4,32.7,3.9,125,1,Bacterial_Blight
21.2,57.4,51.8,6.6,39.8,18.2,29.6,2.9,80,0,Healthy
24.9,74.3,76.1,6.4,40.6,20.1,30.0,3.0,88,0,Rust
